postcode,title,query_postcode,district,municipality,locality,lat,lng
2795-092,Rua Gonçalves Crespo,2795-092,Lisboa,Oeiras,Linda a Velha,38.710485,-9.246497
2785-526,Rua Ary dos Santos,2785-526,Lisboa,Cascais,São Domingos de Rana,38.704122,-9.359340
1750-064,Azinhaga da Cidade,1750-064,Lisboa,Ameixoeira,Ameixoeira,38.778334,-9.160012
2565-802,Rua Paulo Cantarinho,2565-802,Lisboa,Torres Vedras,Turcifal,39.042275,-9.266724
2080-127,Rua Doutor Joaquim Gonçalves Isabelinha,2080-127,Santarém,Almeirim,Almeirim,39.209713,-8.629453
7300-096,Largo dos Aviadores Gago Coutinho e Sacadura Cabral,7300-096,Portalegre,Sé,Sé,39.290558,-7.427970
2770-040,Avenida Conde de São Januário,2770-040,Lisboa,Oeiras,Paço de Arcos,38.702331,-9.289943
4690-417,Fundoais,4690-417,Viseu,Cinfães,Oliveira,41.072040,-8.063165
5100-143,Rua Fafel,5100-143,Viseu,Lamego,Almacave,41.097437,-7.813709
2025-158,Mosteiros,2025-158,Santarém,Alcanede,Alcanede,39.425848,-8.843242
9050-419,Caminho Novo da Piedade,9050-419,Madeira,Funchal,Imaculado Coração Maria,32.664398,-16.911177
3360-073,Miro,3360-073,Coimbra,Penacova,Friúmes,40.287218,-8.246971
2750-249,Rua das Margaridas,2750-249,Lisboa,Cascais,Cascais,38.716249,-9.445313
2530-590,Rua Industrial,2530-590,Lisboa,Lourinhã,Reguengo Grande,39.287495,-9.216194
6420-782,Vila Garcia,6420-782,Guarda,Trancoso,Vila Garcia,40.793081,-7.257245
4490-069,Rua do Agro Velho,4490-069,Porto,Póvoa de Varzim,A Ver-o-Mar,41.395329,-8.775904
3740-325,Louriçal,3740-325,Aveiro,Sever do Vouga,Silva Escura,40.728326,-8.370916
3440-341,Largo Engenheiro Urbano,3440-341,Viseu,Santa Comba Dão,Santa Comba Dão,40.396666,-8.131878
6160-101,Ameixoeira,6160-101,Castelo Branco,Oleiros,Estreito,39.959736,-7.833341
8700-393,Rua da Fábrica da Loiça,8700-393,Faro,Olhão,Olhão,37.028285,-7.838452
4420-578,Rua Vinha,4420-578,Porto,Gondomar,Valbom,41.130962,-8.565578
9325-024,Rua Cónego Agostinho Figueira Faria,9325-024,Madeira,Câmara de Lobos,Estreito Câmara de Lobos,32.671470,-16.980684
3530-073,Pedreles,3530-073,Viseu,Mangualde,Fornos de Maceira Dão,40.598480,-7.811065
7005-323,Rua Chafariz de El-Rei,7005-323,Évora,Senhora da Saúde,Senhora da Saúde,38.573100,-7.775558
3105-330,Rua Félix,3105-330,Leiria,Pombal,Redinha,39.955812,-8.559012
4400-052,Rua de Bélgica,4400-052,Porto,Vila Nova de Gaia,Canidelo,41.131785,-8.660640
1950-429,Rua João Palma Ferreira,1950-429,Lisboa,Marvila,Marvila,38.754124,-9.125953
7100-519,Rua Capitão Mousinho de Albuquerque,7100-519,Évora,Estremoz,Santo André Estremoz,38.952496,-7.505314
2970-705,Rua 2 de Abril,2970-705,Setúbal,Sesimbra,Santiago (Sesimbra),38.445259,-9.101320
4765-099,Bairro Augusto Correia,4765-099,Braga,Vila Nova de Famalicão,Delães,41.382068,-8.416029
2705-202,Escadinhas do Pelourinho,2705-202,Lisboa,Sintra,Colares,38.799535,-9.448579
2750-481,Rua de Santa Bárbara,2750-481,Lisboa,Cascais,Cascais,38.706891,-9.425769
8500-539,Largo do Bairro Operário,8500-539,Faro,Portimão,Portimão,37.150153,-8.552542
2955-245,Estrada dos Montinhosos,2955-245,Setúbal,Palmela,Pinhal Novo,38.613647,-8.896652
2750-261,Rua do Roseiral,2750-261,Lisboa,Cascais,Cascais,38.716458,-9.441669
2805-281,Praceta Jaime Amorim Ferreira,2805-281,Setúbal,Almada,Pragal,38.671470,-9.169499
1800-373,Rua 23,1800-373,Lisboa,Santa Maria dos Olivais,Santa Maria dos Olivais,38.775486,-9.120605
7800-026,Praceta do Mestre António de Sousa,7800-026,Beja,Salvador,Salvador,38.008690,-7.855325
4950-354,Cruzeiro,4950-354,Viana do Castelo,Monção,Messegães,42.023850,-8.363891
2970-037,Rua Eduarda Lapa,2970-037,Setúbal,Sesimbra,Castelo (Sesimbra),38.502883,-9.120264
5000-312,Bisalhães,5000-312,Vila Real,Mondrões,Mondrões,41.285915,-7.788617
4980-792,Coto,4980-792,Viana do Castelo,Ponte da Barca,Vade (São Tomé),41.784367,-8.403972
